,Comments,Comment ID,Reply Count,Like Count,Updated At,Viewer Rating
41,"Thanks so much for your videos. My girlfriend of almost two years recently came out as trans. I love how informative your videos are! I want to learn all I can, so that I can be the most supportive gf I can. ❤️❤️",Ugwt2jGL6HkcwSQlIHZ4AaABAg,0,4,2019-12-12T15:01:23Z,none
42,You’re so beautiful ♥️!,UgyhUST45re6qUBc2Yh4AaABAg,1,2,2019-11-30T13:06:36Z,none
43,You are so cisphobic,UgyIcZqmOqyL4_zQgbV4AaABAg,2,21,2019-11-23T22:10:47Z,none
44,This was aggravating to watch,Ugyexbmas2g5WCG0-jB4AaABAg,3,20,2019-11-08T21:04:45Z,none
45,"You are so, so articulate. Thank you for the work you did in making this video and for making a person questioning their gender not feel out of place because I haven't necessarily seen someone with the same exact story as mine. I haven't really seriously thought about my gender before I guess... But suddenly I've started experiencing gender dysphoria at the age of 21 while never experiencing it before at any point in my life that I can remember, and now I'm looking back and like my favorite songs in middle school were Androgyny and Cherry Lips by Garbage, which both definitely deal with trans themes imo. I'm thinking maybe I just never seriously thought about my gender before until like a month ago so I never really thought it might not be best for me? Until I started thinking about how much better I'd feel in social situations being a woman... So I think I've always had the euphoria (when I was little I used to 'play ballet' in my room with piano music), I just never put two and two together that what I really enjoyed in doing those activities  was the idea of filling a (very stereotypical) social role of what I thought it meant to be a woman back then. As I grew up those activities were kind of stamped out of me by my family, relatives, and church, so I really honestly forgot I could experience those feelings because I was always perceived as being a man. I just always felt like there was something missing, I mean if I am a man (ugh I hate this process) then I'm gay, so I thought that that was what I was missing, but I still would just have these deep-seated angers at random points about having to engage with strangers and friends as a man in every social situation and it was getting tiresome. I shoved it down as far as I could and would hang out with pretty bro-ish people (even though I didn't act super broey myself), even during college tho I expanded my circles to more feminine-presenting people then and realized that I was missing out on a lot of fun just being able to be myself 100%.

Now two things are making me start to experience this childhood gender euphoria I almost forgot about... 1. is my hair. The more I've grown it out the more I feel... just... right. Like I never noticed there was something off but now that I'm experiencing it there is something definitely off. And 2. is trying makeup. Once I started putting it on (with some friends) I just felt like this intense happiness that I was doing something to present as more feminine. Since these things are happening that might be why I'm ""suddenly"" experiencing dysphoria?

And I'm not even sure still if I am a woman 100%",UgxCJfLVT_YuRGaQdkB4AaABAg,0,5,2019-10-31T05:46:17Z,none
46,"Hey you do you, you only live once right",UgxC-rpXscvgrMHHXNd4AaABAg,0,5,2019-10-13T02:44:27Z,none
47,"Nice job on the sponsor, gotta keep that beard at bay huh?",UgwKHsqHMzf2kP5U0v14AaABAg,0,12,2019-10-10T00:08:42Z,none
48,"Speaking as someone mildly triggered by the q word, especially when its used as a blanket term, THANK YOU for not using that awful word to describe our community.",UgxLZT6lsPC7ujHkb6x4AaABAg,0,0,2019-09-09T06:46:32Z,none
49,Love your work and great you are down under.,Ugxd6yISOgThDdhLY4N4AaABAg,0,2,2019-09-09T00:28:06Z,none
50,Omg u are the governing body of what is right to say u make no sense,Ugz1OXWHcCHlRij7qMZ4AaABAg,0,3,2019-09-06T02:00:07Z,none
51,Everything about u is nit picky,Ugy00GyhlEaj3C-Ywjx4AaABAg,1,8,2019-09-06T01:59:42Z,none
52,You're cute you remind me of Perfuma from Shera but with lighter skin,UgzqdDHpVSb1QgxD3E14AaABAg,0,11,2019-09-06T00:04:12Z,none
53,Why do you say that I was born in the right body? Are you trying to say that I'm damaged in some fashion????,Ugzl4WR8gakzxDhBtc94AaABAg,2,6,2019-08-31T13:56:37Z,none
54,Thank you <3,Ugy40X944QjSLs2x7RJ4AaABAg,0,9,2019-08-30T05:02:23Z,none
55,This helped me so much. Thank you for trying to educate us on how to be decent people. 😘,UgwY0R3eknYQ9fLYhz14AaABAg,0,4,2019-08-29T14:02:02Z,none
56,"I'd be very interested in a gender neutral term for sir/ma'am and Mr./Miss and aunt/uncle.  I'm sure they must exist in some language other than English.  And hopefully a word better than ""nibbling"" for the child of siblings.",UgwfzZ90xXanYKcKJxV4AaABAg,0,0,2019-08-28T23:26:23Z,none
57,"When I'm trying not to use gendered language and need to address someone I don't know very well, I say comrade. It both promotes solidarity between all people and doesn't exclude ANYONE. I'm in a bit of a personal quest to stop using gendered language as much in ANY situation, but that's kind of beside the point.",UgyyxglGcg6Nzp6IaP54AaABAg,0,0,2019-08-28T10:32:31Z,none
58,Did.. did you.... Compare being gay to being Transgender?,UgymUC_Yzud6daJWXOh4AaABAg,2,23,2019-08-27T13:11:18Z,none
59,"Thank you so much for making this video, Riley.  YouTube needs more content makers like you.",UgxVuqL4nX-txQNmymt4AaABAg,1,7,2019-08-26T20:47:10Z,none
60,Very educational video Riley.,UgwX2_4jxIRewlZnYA54AaABAg,0,1,2019-08-26T13:40:08Z,none
61,❤️,UgzfGwGCttLCo4qIozd4AaABAg,1,9,2019-08-25T10:57:57Z,none
62,"Don't agree with most things you say but I just had to comment, you are stunning, really pretty eyes",UgyXoqZ1Gbyir9ck5ol4AaABAg,0,6,2019-08-25T10:17:09Z,none
63,Thank you 💜,UgyuIb4D3MjVfx6pu2Z4AaABAg,0,3,2019-08-25T04:07:47Z,none
64,"also, sorry, do you have any links to resources to help trans individuals get the treatment to transition that they desire? for those who are looking for counseling or hormonal treatments etc?",UgxOnSraenlUb_A4qHh4AaABAg,0,0,2019-08-25T02:44:49Z,none
65,Watching from Germany!,Ugx1B32UZDpoD_zvnjJ4AaABAg,0,18,2019-08-25T00:57:19Z,none
66,E,UgwMhWpjjwEyi-p217Z4AaABAg,1,2,2019-08-24T22:37:11Z,none
67,E,UgxEs6Tae_eaHYs913l4AaABAg,0,2,2019-08-24T22:37:08Z,none
68,E,UgxyFyqBNRL2briwVR14AaABAg,0,2,2019-08-24T22:37:05Z,none
69,E,UgwmD0dQALCu2pifYO14AaABAg,0,3,2019-08-24T22:37:02Z,none
70,E,UgwMql9qNC-A4sgFvB54AaABAg,0,1,2019-08-24T22:36:58Z,none
71,E,Ugx2itDCwOdkbzI1AxV4AaABAg,0,1,2019-08-24T22:36:54Z,none
72,"Thank you for making this! Maybe I’ll even use it to tell people someday. I especially like how you addressed the “wrong body” thing. I just feel like there’s some things I need to fix, not start from scratch. Sure, I deal with disassociation at times but mostly it’s PARTS that are wrong/feel off. Not my entire physical being.",UgxlkapXOXJkvv1_snx4AaABAg,0,0,2019-08-24T17:16:33Z,none
73,you're so beautiful aaaaa,Ugw-e3wdpCY9g59kTel4AaABAg,0,2,2019-08-24T15:25:04Z,none
74,Thank you.,UgwVh0d3TjZ07B2tNxd4AaABAg,0,5,2019-08-24T07:18:19Z,none
75,"I think, and this might only be me... or not...
but the shape of your eyes is so pretty!
Also thanks for the information! ^^",Ugwah9G9saG4u4csazt4AaABAg,0,0,2019-08-23T11:53:42Z,none
76,"Hey dood, you should wear an ascot",UgzxCpvhC0t2tD34bx94AaABAg,1,10,2019-08-23T11:49:57Z,none
77,"Amazing video Riley, keep up the good work!!! <3",Ugx5w-BE2MtTCWyBWIh4AaABAg,0,1,2019-08-23T08:51:25Z,none
78,"All in all, the video was very informative and helpful. :) Also... your eyes are so pretty! I couldn't stop staring into them through the whole video. >_<",Ugz1BHnHypOLjlJnjIl4AaABAg,0,4,2019-08-23T01:34:24Z,none
79,neatmike. . .,UgzXukbXHsQJ-lsxVs94AaABAg,0,1,2019-08-22T18:49:08Z,none
80,leaving a comment for the algorithm,Ugy32WQqL5R8uUNuxaJ4AaABAg,0,33,2019-08-22T03:45:27Z,none
