,Comments,Comment ID,Reply Count,Like Count,Updated At,Viewer Rating
356,Your voice is a soothing gateway to the abrupt end of a panic attack for me <3,UgwiPr8rcTLUAYqO0j14AaABAg,1,0,2017-08-01T14:13:45Z,none
357,"Its hard for cis people to understand trans because on the spectrum of biological sex and gender those two dots line up perfectly so they cant tell that its actually 2 dots on top of each other and not just 1. Idk if this explanation made sense, its better with a visual representation. But thats how i explain it .",Ugxgpdrc-QgJUFZH4p54AaABAg,0,0,2017-08-01T14:11:14Z,none
358,"I basically know everything about being transgender, but i like chase so i watch anyway",Ughclgk-tQQOGngCoAEC,0,51,2017-08-01T14:10:03Z,none
359,"I really like the sweater analogy when it comes to explaining how you know you're trans. It goes as follows: you're shopping with someone (this person represents society). You're in the changing room with them, and they're forcing a sweater on you, but it's way too small, and way too thin. You've been eyeing another sweater the whole trip, and it looks wonderful, but Society is telling you that you can't have that one. You decide to try it on anyway, and it's comfy and warm and fits just right. Society is telling you over and over that it looks ugly and isn't right and it's too expensive and you might change your mind, but you buy it anyway, and it's absolutely perfect.

That's what being trans is like. You have this unexplainable knowledge that the jumper you were given just does not fit, and society is telling you all these lies about what you should and shouldn't do, but there's nothing you want more than that sweater and you just KNOW you have to have it. You can't hide it away or pretend it doesn't exist. It's an inescapable part of who you are.",Ugjh9pAGZDq-33gCoAEC,3,164,2017-08-01T23:56:09Z,none
360,I will probably send these videos to my mom so she can understand more about me and I hope she likes them.,UgjDFyPJyvZdPHgCoAEC,0,0,2017-08-01T14:00:07Z,none
361,"HE DID THAT HE JUST DID THAT (it's really early, i'm just shook right now)",UggyathFTnFNeXgCoAEC,0,1,2017-08-01T13:57:42Z,none
362,BLESS YOU FOR THIS,Ughgug9Bru38KHgCoAEC,0,0,2017-08-01T13:54:21Z,none
363,I'm happy you're doing this! I must learn more about myself!,UgiOn9C8Zhxq1ngCoAEC,0,0,2017-08-01T13:51:18Z,none
364,Omg I am trans!!,UgjTOMCNpRSXk3gCoAEC,0,0,2017-08-01T13:50:01Z,none
365,"I'm not trans, I don't know anyone who is (that I know of) but I live in the San Francisco area so in my daily life I come across literally every gender known to humanity and have several family members who identify as gay/lesbian. I've made it my mission to educate my father on the topic of transgenderism (is ism right?) so I'm going to go over and watch this video again at full volume and wait for him to say something so I can drop some education bombs on him. Thanks for doing what you do and for educating people so kindly and not attacking/being angry all the time. God knows you would be within your right to be constantly angry if you chose to. 

Good luck to you and everyone who walks in your shoes.",UgjO6CVvzcLYHXgCoAEC,2,6,2017-08-01T13:49:59Z,none
366,"I'm basically an expert on these things by now, but I watched anyway cause you're really entertaining.",Ugib9JhtjocCGXgCoAEC,0,5,2017-08-01T13:49:07Z,none
367,"I got an ad!!!! Also, Chase, this series is going to be amazing – I can already tell! You clearly put so much effort into being a resource and it pays off. Thank you so much! Please remember to take care of yourself though – this sounds like a lot of work.",UghyKC8ZXmsDongCoAEC,0,0,2017-08-01T13:54:47Z,none
368,I love that you are doing this!!! Yay for something I can show my parents to help them undestand!!!,UgggqpoP1UG7QXgCoAEC,0,0,2017-08-01T13:45:34Z,none
369,"Chase this idea for a new series is great! It will help soooo many people, I know it would help me a lot 2 years ago when I started dating my boyfriend (he's FTM) and I was researching all these stuff (and that's how I found you and your channel!) I basically didn't know anything about trans people apart from the fact that they exist. I think that now I'll know all the stuff you're gonna be talking about in this series, but I will watch it anyway, because you're such a cute little bee and your videos make me smile everytime :)",UggCD_IPlXUDfXgCoAEC,0,1,2017-08-01T13:36:10Z,none
370,I really appreciate you making this series man. Super hyped to see the rest of it.,UgjYMoIUvT6FPXgCoAEC,0,0,2017-08-01T13:08:45Z,none
371,This is such a brilliant idea for a series. Thank you papito xo,UghadO0--K7cCngCoAEC,0,0,2017-08-01T13:07:28Z,none
372,Thank you Chase! I'm going to send this to my family.,Ugj45hOl6TLjNXgCoAEC,0,0,2017-08-01T13:06:31Z,none
373,Ad!!! :D,UgjTTyKtFVNkc3gCoAEC,0,4,2017-08-01T13:05:14Z,none
374,"Could you do one video in this series about how medical transition isn't a prerequisite for being trans, and how some trans people don't medically transition?",UgyCNVpWjfpZU4aJkVd4AaABAg,1,4,2017-08-01T13:03:11Z,none
375,"❤💛💚💙💜

This is so awesome",UggfVlRJUSSrAHgCoAEC,0,1,2017-08-01T13:00:51Z,none
376,"Thank you Chase for this video series and all of your vid's. As a ciss bi male with many trans friends who openly discuss their lives I appreciate the task you are taking to educate people from your experience. I do feel a bit awkward saying I have ""this"" many trans friends because it sounds like I'm collecting trans people and dehumanizing them, they are just my friends. I identify them as my friends and by the appropriate pronouns. I only ever mention the Trans aspect of someone if it comes up and I know that they are ok with me informing others. Anyway, thank you for this. I hope to learn more. Smile!",Ugi20oX-fZ4OzHgCoAEC,0,1,2017-08-01T12:57:48Z,none
377,"I'll prolly end up sending these to my friends/ family, thanks for creating resources to help us out Chase 😊❤️",UgiWcVSU4hgrsHgCoAEC,0,0,2017-08-01T12:54:06Z,none
378,I literally had an argument with my parents last week about this. Lol. A little late huh Chase?,UghR-U0ANlzQC3gCoAEC,0,3,2017-08-01T12:52:05Z,none
379,Hearing him so he was successful made me so proud 😅,Ugg-fQtSJxUVPXgCoAEC,0,0,2017-08-01T12:51:32Z,none
380,GÉNIAL,UgwuR6UD_PpJJ1BVg894AaABAg,0,1,2017-08-01T12:50:09Z,none
381,yay chaseypoo,UgiZ2mBgm3UaSngCoAEC,0,0,2017-08-01T12:49:47Z,none
382,"My best friend who is a trans male is planning on coming out publicly this month, and I'm so glad that now I'll have some educational-type videos to show other people to help them better understand what my best friend is going through! Thank you so much, Chase! 💖",Ugy2gcVuWHqs5tH9tIZ4AaABAg,0,9,2017-08-01T12:46:59Z,none
383,Already no ad? 😢,UggCncFxb89zDXgCoAEC,1,0,2017-08-01T12:44:50Z,none
384,I love all your videos chase❣,UgwQGCSkAc-hrUiCIEl4AaABAg,0,0,2017-08-01T12:44:19Z,none
385,I am sending this link to my friend who doesn't understand anything about transgender people.,UgxhqcxT5TsJaQO9vqR4AaABAg,0,0,2017-08-01T12:43:07Z,none
386,I almost skipped the ad but then I remembered that I clicked on one of your videos so I watch that puppy. How often are you going to be posting this series?,UgiatP6qBs8Sj3gCoAEC,4,86,2017-08-01T12:41:25Z,none
387,"Are you covering dating in this series? I don't mean like how to date safely (although that would be great too) but addressing issues that might come up when dating someone who is trans, how a cis person can be a supportive girlfriend or boyfriend etc?This would be awesome as I'm struggling with this at the moment xx",UgzCDLX1zBpxIjyX6b14AaABAg,1,1,2017-08-01T12:41:23Z,none
388,Lil professor Chase!!,Ugh4HaSzgpNh9XgCoAEC,0,0,2017-08-01T12:38:48Z,none
389,These videos are going to be so help. You're going to help so many people understand being transgender. 😊♥️you're amazing,UgzjxsTXk5Lm18PYnH14AaABAg,0,0,2017-08-01T12:37:35Z,none
390,"I wish you had said cis instead of ""non-trans""...esp since this series is for uneducated people who don't know correct terms",Ugi4ca-rD-O73XgCoAEC,0,0,2017-08-01T12:33:22Z,none
391,My mother needs to see this.,UgjCT2ARm_wy43gCoAEC,0,0,2017-08-01T12:29:17Z,none
392,"Slick, very polished and professional. So proud of you Mr. Ross",UghC2kH-0wjk4ngCoAEC,0,57,2017-08-01T12:28:49Z,none
393,"I heard something a trans person said to make cis people understand what  being trans is : ""imagine you are right handed, but your whole life people said you're left handed and you have to write with your left hand. That's what gender is. You don't understand why you are right handed, it just is.."" Love your videos chaseypoo <3 :)",UgjcPulhrpGp_XgCoAEC,17,584,2017-08-01T12:27:34Z,none
394,this is every DAY!?!?!? for August?!?! BLESSED. MY BIRTHDAY MONTH,Ugjkh9fn0S5YAngCoAEC,16,194,2017-08-01T12:26:14Z,none
395,thank you so much for this video !!!!,Ugj7KH9vlFu-OngCoAEC,0,0,2017-08-01T12:25:47Z,none
396,"I have an open mind and i am here because i think we (all people) should listen to each other in order to get a better understanding. Its kinda depressing to hear ""if you are not trans you will never understand what it feels like"" because i really want to understand so much when it comes to gender and identity. But i totally get it. As a person dealing with depression i know what its like to feel something nobody can truly understand unless they deal with it too. 
Im very excited about this series! Thanks for making it!",UgjYio1ay35TvngCoAEC,8,150,2017-08-01T12:23:37Z,none
397,this gonna be great,Ugy2IDICuenTOHpuPAp4AaABAg,0,0,2017-08-01T12:23:34Z,none
398,Thank you Chase! Hopefully this will help me answer some questions about myself. You rock! 💖,UgjW7scJCmMW4HgCoAEC,0,0,2017-08-01T12:22:52Z,none
399,U LOOK SO CUTE IN THIS VID ILY,UgjKyH0HTDvvVXgCoAEC,0,0,2017-08-01T12:22:21Z,none
400,EVERY DAY IN AUGUST???? CHASE BOY I'M PROUD,UghYNvLyWCLYT3gCoAEC,4,326,2017-08-01T12:21:14Z,none
401,"This is such a great idea Chase. I want to show this to my school stand out group.
Sometimes people just need clear definitions and explanations to understand something and this is exactly what they need. 
I can't wait for all the other video's in this series.",UghdnI6KBXlnG3gCoAEC,0,3,2017-08-01T12:20:44Z,none
402,"4:16 ""I am a female-to-male transgender"" transgender is not a noun mate",UgjO-DcAG8TNMngCoAEC,1,0,2017-08-01T12:19:29Z,none
403,"I'm excited to see the rest of this series ! Too bad I'm French and won't be able to show it to any of my friends but anyways, it's great that someone like you would do some resource like that ! :)

I just want to leave maybe a more nuanced comment about what you said about ""it's when your outside doesn't match your inside"" : as a trans person, i believe that my outside matches my inside, because I'm non binary and my body isn't inherently gendered (since gender is a social construct). It's society that associate my appearance with being a woman, but my body is not inherently ""a woman's body""; it's just a body. And this association body <=> woman makes me feel bad and feel dysphoria. That's just my experience, and not every trans person feel this way, but I wanted to highlight this as the narrative of ""born in the wrong body"" is in my opinion a simplistic and reductive description of being trans and I wouldn't recommend to use it even in trans 101 as it perpetuates cissexist ideas about bodies (I'm not saying that Chase said ""born in the wrong body"" I'm just giving more details because ""your inside doesn't match your outside"" could easily make people think ""oh they're born in the wrong body then"").",Ugg6lrvuTRDGIngCoAEC,9,10,2017-08-01T12:23:09Z,none
404,FUCC YASSS BITCH YASSS NEW SERIES WOOOOOOO,UgiArD8eRgnh8ngCoAEC,0,0,2017-08-01T12:18:49Z,none
405,YASSS,Ugh3vSSoK0vVTngCoAEC,0,0,2017-08-01T12:18:35Z,none
406,"I love this I'm so excited to send this to my friends who are ""supportive but don't understand""",Ugxsb-3p4gUFA3fOA2V4AaABAg,0,6,2017-08-01T12:17:26Z,none
407,YEEET now I just need german caption on those videos so I can send them to may dad,Uggb7Sf5dXKEgHgCoAEC,3,0,2017-08-01T12:15:34Z,none
408,this is absolutely amazing and yr doing the world a massive favour by educating so many folks and being out there as who u r ♡ much love,Ugh-ljV8u04ce3gCoAEC,0,0,2017-08-01T12:14:43Z,none
409,Also the background music is amazing 👏🏻👏🏻 whoever made it 👌🏻,UgjHCGmYAoDIkHgCoAEC,0,29,2017-08-01T12:12:08Z,none
410,Good idea chase. Will definitely help family and friends that they can watch in their own time too.,UggQKpte5B-N0ngCoAEC,0,34,2017-08-01T12:10:47Z,none
411,oh boi,Ugy8IHHD14QjqERLzL54AaABAg,0,1,2017-08-01T12:10:16Z,none
412,EARLY!,UgzgMr1eBLfdZwst__54AaABAg,0,0,2017-08-01T12:09:37Z,none
413,OMG PAPITO SO PROFESHHHH 👌👌💖,Ugi_OBJh1KLntngCoAEC,7,414,2017-08-01T12:06:44Z,none
414,I got an ad wooop!,UghPpW3xX_4QKXgCoAEC,0,53,2017-08-01T12:03:25Z,none
415,Early! Also i love chase so much,UgiJ-DQGelVuTXgCoAEC,0,17,2017-08-01T12:02:33Z,none
416,YAY! thank you so much for this chase I'm so going to show this to my family so they can understand what I feel like better,Ugj8eA6Gc4QZtHgCoAEC,1,80,2017-08-01T12:02:22Z,none
417,💖💖💖💖💖 I know what I'll send my family this summer lol,Ugw_J6lX3dE5pi67tAF4AaABAg,0,6,2017-08-01T12:02:12Z,none
418,I'm so excited!!,Ugg8okEE9Llt6XgCoAEC,0,6,2017-08-01T12:01:43Z,none
419,Omg this is cool 👍🏻,Uggx76ECHstWJXgCoAEC,0,5,2017-08-01T12:01:30Z,none
420,Wassup,UggLw63sGuIyLngCoAEC,0,2,2017-08-01T12:01:24Z,none
421,Yessss chaaasseeew,Ugj7y5ng-EoaKXgCoAEC,0,3,2017-08-01T12:01:16Z,none
